standard_deviation_e1,standard_deviation_e2,standard_deviation_e3,standard_deviation_e4,standard_deviation_e5,standard_deviation_e6,standard_deviation_e7,standard_deviation_e8,root_mean_square_e1,root_mean_square_e2,root_mean_square_e3,root_mean_square_e4,root_mean_square_e5,root_mean_square_e6,root_mean_square_e7,root_mean_square_e8,minimum_e1,minimum_e2,minimum_e3,minimum_e4,minimum_e5,minimum_e6,minimum_e7,minimum_e8,maximum_e1,maximum_e2,maximum_e3,maximum_e4,maximum_e5,maximum_e6,maximum_e7,maximum_e8,zero_crossings_e1,zero_crossings_e2,zero_crossings_e3,zero_crossings_e4,zero_crossings_e5,zero_crossings_e6,zero_crossings_e7,zero_crossings_e8,average_amplitude_change_e1,average_amplitude_change_e2,average_amplitude_change_e3,average_amplitude_change_e4,average_amplitude_change_e5,average_amplitude_change_e6,average_amplitude_change_e7,average_amplitude_change_e8,amplitude_first_burst_e1,amplitude_first_burst_e2,amplitude_first_burst_e3,amplitude_first_burst_e4,amplitude_first_burst_e5,amplitude_first_burst_e6,amplitude_first_burst_e7,amplitude_first_burst_e8,mean_absolute_value_e1,mean_absolute_value_e2,mean_absolute_value_e3,mean_absolute_value_e4,mean_absolute_value_e5,mean_absolute_value_e6,mean_absolute_value_e7,mean_absolute_value_e8,wave_form_length_e1,wave_form_length_e2,wave_form_length_e3,wave_form_length_e4,wave_form_length_e5,wave_form_length_e6,wave_form_length_e7,wave_form_length_e8,willison_amplitude_e1,willison_amplitude_e2,willison_amplitude_e3,willison_amplitude_e4,willison_amplitude_e5,willison_amplitude_e6,willison_amplitude_e7,willison_amplitude_e8,label,gesture,gb_score,is_synthetic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8415562506710881,1.0,0.67040004686113,0.8076458073272387,0.660120229210686,0.9016748631312048,0.9674586885096732,0.765988843893577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071876101075088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721155707724518,0.3207934649434584,0.0,0.7425917506303659,0.2606021964012934,0.1817232112065608,0.890870657085377,0.6167534723440257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310457988125203,0.0,0.0,0.4320320711126806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909532100689516,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225869642858541,0.3928347721260524,0.5055844511310457,0.6591606712514502,0.7883889018742872,0.6111884065111004,0.1110378410790759,0.4840892412760502,0.0,0.0,0.0,0.0,0.0,0.0,0.1479223518641279,0.0,0.0,0.5714279269504202,0.1953480893129504,0.1256385866165111,0.0,0.1390100543457438,0.2962384586065334,0.0867655467723444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3482192780418885,0.0,0.0,0.2860661875518888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506627899268152,0.0,0.0,0.0,0.9262499103165912,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4952114504660427,0.3867226361491823,0.6074885840100338,0.6894415864244259,0.6722728789011101,0.7471257028440977,0.5493766162946006,0.6815798022993296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429246799378171,0.0725730595683171,0.0,0.0222184643785936,0.0,0.3331650054393541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8561942136638069,1.0,1.0,0.8957583443392727,0.8259142195388597,0.8892199316545928,1.0,0.7992868471207855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
-0.836040487179883,-1.020344149810772,-0.910508571576453,-0.908825000867456,-0.8352711696534755,-0.8244084066632552,-0.8394552090435079,-0.6901982598796741,-0.7782204204445643,-0.9795644114445816,-0.8748035448200702,-0.8498501432572404,-0.785430605503043,-0.7752993526485317,-0.8209981116103289,-0.666692720818847,0.8518401078851588,1.1046632838952788,1.0854485585077407,0.8267743282148882,0.759441289719074,0.8710096668498064,1.0167371112961423,0.7435280195944061,-0.8387616496525433,-0.9974390850480304,-0.969457141145554,-0.8688942087846812,-0.8194165526243841,-0.8119304533467219,-0.957141768366913,-0.7392672658088998,-2.221114673368964,-2.729460184570564,-2.5047338489077293,-1.9751445158488805,-1.6910860443326006,-1.794719577954136,-1.91552890201597,-1.671256355658425,-0.8517421394407223,-1.0498869445871792,-0.9309967289723868,-0.9193861006906588,-0.9076282059102304,-0.8533219747394928,-0.8115242651991031,-0.6650424112790086,-0.6156211669484712,-0.7409554381442199,-0.8300398288503493,-0.6915271466511846,-0.5594062238937484,-0.5765155905027063,-0.4410201244287303,-0.4436918193378466,-0.8371064904052008,-1.0017364562662356,-0.8866202626281535,-0.9118870055784783,-0.8896493098934665,-0.8356957006146362,-0.7667879716112712,-0.6599911109333781,-0.8423814837706245,-1.0260667272564536,-0.8957665274929463,-0.910051533174375,-0.8518189997437282,-0.8368482089728617,-0.7743270450125642,-0.6630595166315908,-0.7502927123399358,-1.153421190346039,-1.2984624107852754,-0.6823193651916142,-0.5049497684582015,-0.8617802440953957,-1.0459274493399155,-0.7576782803851408,6,rest,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236596876688223,0.3279722658325918,0.4438830588646885,0.2624339339700474,0.2472874820540755,0.432675379103867,0.7520448353046516,0.4635537317158569,0.128974836814185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787866709121584,0.0,0.6288217182203728,0.2596611946288846,0.0,0.0,0.0,0.0,0.0042355476051796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125800724232141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062400085977657,0.0,0.2873737727549529,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0796901589687629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100238526630985,0.0,0.0,0.0,0.5934970078690488,0.7957009256814066,0.0,0.4064521268660742,0.0616582066890348,0.479165522995934,0.904286010993344,0.7412313411288596,0.0,0.0,0.0,0.0,0.160557018324416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947099430200235,0.1326434151100592,0.0,0.0,0.0,0.0,0.0,0.0,0.0836413651168138,0.0,0.0,0.0,0.0,0.0,0.7284684531132924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209932773366253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618765558494904,0.0,0.0,0.0,0.0,0.0,0.5256656518246633,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194859050110396,0.1531386143320476,0.5347063551417292,0.6304340062562521,0.3651209004066181,0.2623514042585255,0.7713967166558099,0.7104730296950111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375759964624724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337333813701299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6797127004071828,1.0,1.0,0.7358957552039957,0.8778270015216016,0.861938496919632,0.98639233374793,0.8386711368946564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,synthetic,0,1
